"","GameNum","X","Season","Date","Div","Country","League","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HomeOverall","HomeGoalkeeper","HomeAttacking","HomeMidfield","HomeDefense","HomeBench","AwayOverall","AwayGoalkeeper","AwayAttacking","AwayMidfield","AwayDefense","AwayBench","GoalDiff","TotalGoals"
"1",1,678,"2018/2019","2019-06-09 00:00:00","SP2","Spain","La Liga Segunda Division","Gimnastic","Lugo",1,1,"D",17,8,6,2,70.2727272727273,69,71.5,69.5,70.75,67.4285714285714,70.6363636363636,71,71,71,70,67.2857142857143,0,2
"2",2,679,"2018/2019","2019-06-09 00:00:00","SP2","Spain","La Liga Segunda Division","Numancia","Las Palmas",1,1,"D",11,12,7,4,70.4545454545455,68,69.5,70.75,71.25,68.4285714285714,73.5454545454545,74,75.5,72.75,73.25,71.2857142857143,0,2
"3",3,680,"2018/2019","2019-06-09 00:00:00","SP2","Spain","La Liga Segunda Division","Tenerife","Zaragoza",1,0,"H",19,23,6,10,70.8181818181818,71,71,72.25,69.25,69,70.9090909090909,73,72,70.5,70.25,69,1,1
"5",5,682,"2018/2019","2019-06-08 00:00:00","SP2","Spain","La Liga Segunda Division","Sp Gijon","Cadiz",1,0,"H",13,10,5,1,73.2727272727273,76,72,73.75,72.75,69.5714285714286,71.1818181818182,73,72,72,69.5,69,1,1
"6",6,683,"2018/2019","2019-06-08 00:00:00","SP2","Spain","La Liga Segunda Division","Rayo Majadahonda","Reus Deportiu",1,0,"H",NA,NA,NA,NA,68.6363636363636,66,68,68.25,70,65.8571428571429,68.5454545454545,73,65.5,69,68.5,66.1428571428571,1,1
"7",7,684,"2018/2019","2019-06-08 00:00:00","SP2","Spain","La Liga Segunda Division","La Coruna","Cordoba",2,0,"H",21,8,6,3,73.9090909090909,72,75,76,71.75,72.2857142857143,69,67,67,70,69.5,65.2857142857143,2,2
"10",10,687,"2018/2019","2019-06-08 00:00:00","SP2","Spain","La Liga Segunda Division","Granada","Alcorcon",2,1,"H",10,15,4,5,70.7272727272727,69,71.5,72,69.5,67.4285714285714,70.1818181818182,72,70.5,70.25,69.5,68.7142857142857,1,3
"11",11,688,"2018/2019","2019-06-08 00:00:00","SP2","Spain","La Liga Segunda Division","Malaga","Elche",3,0,"H",16,8,8,3,73.2727272727273,72,72,74,73.5,71.1428571428571,68.3636363636364,68,69,68.75,67.75,66.5714285714286,3,3
"13",13,690,"2018/2019","2019-06-04 00:00:00","SP2","Spain","La Liga Segunda Division","Albacete","Malaga",1,2,"A",12,8,3,4,69.9090909090909,69,70.5,68.5,71.25,67.2857142857143,73.2727272727273,72,72,74,73.5,71.1428571428571,-1,3
"14",14,691,"2018/2019","2019-06-04 00:00:00","SP2","Spain","La Liga Segunda Division","Cadiz","Extremadura UD",0,1,"A",20,8,8,4,71.1818181818182,73,72,72,69.5,69,68,66,70,67.75,67.75,66.1428571428571,-1,1
